sensor,hiddenLayers,batchSize,batchSizeAsFraction,epochs,trainingTimeSeconds,finalSparseCategoricalAccuracy,evaluatedAccuracy,nodes,layers,activationFunction
VP0-0,dense_36 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,54.071151,0.897155762,0.86428833,5,1,relu
VP0-0,dense_38 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,54.325496,0.905792236,0.871765137,5,1,relu
VP0-0,dense_40 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,55.051233,0.899932861,0.863189697,5,1,relu
VP0-0,dense_42 (Dense)             (None[comma] 5)                 30        ,16384,0.5,651,19.178429,0.757659912,0.659301758,5,1,relu
VP0-0,dense_44 (Dense)             (None[comma] 5)                 30        ,16384,0.5,768,22.425355,0.737487793,0.680358887,5,1,relu
VP0-0,dense_46 (Dense)             (None[comma] 5)                 30        ,16384,0.5,650,18.251166,0.747161865,0.675079346,5,1,relu
VP0-0,dense_48 (Dense)             (None[comma] 5)                 30        ,8192,0.25,321,11.543529,0.723205566,0.664276123,5,1,relu
VP0-0,dense_50 (Dense)             (None[comma] 5)                 30        ,8192,0.25,297,10.731181,0.68927002,0.597045898,5,1,relu
VP0-0,dense_52 (Dense)             (None[comma] 5)                 30        ,8192,0.25,301,10.929396,0.693359375,0.681762695,5,1,relu
VP0-0,dense_54 (Dense)             (None[comma] 5)                 30        ,4096,0.125,156,7.787385,0.64730835,0.499755859,5,1,relu
VP0-0,dense_56 (Dense)             (None[comma] 5)                 30        ,4096,0.125,184,8.099223,0.665893555,0.597167969,5,1,relu
VP0-0,dense_58 (Dense)             (None[comma] 5)                 30        ,4096,0.125,172,7.710542,0.67578125,0.668365479,5,1,relu
VP0-0,dense_60 (Dense)             (None[comma] 5)                 30        ,2048,0.0625,121,9.169195,0.687164307,0.62411499,5,1,relu
VP0-0,dense_62 (Dense)             (None[comma] 5)                 30        ,2048,0.0625,121,8.873449,0.6690979,0.619659424,5,1,relu
VP0-0,dense_64 (Dense)             (None[comma] 5)                 30        ,2048,0.0625,139,9.800552,0.673126221,0.629180908,5,1,relu
VP0-0,dense_66 (Dense)             (None[comma] 5)                 30        ,1024,0.03125,87,9.030165,0.677368164,0.594085693,5,1,relu
VP0-0,dense_68 (Dense)             (None[comma] 5)                 30        ,1024,0.03125,83,9.329481,0.700134277,0.575134277,5,1,relu
VP0-0,dense_70 (Dense)             (None[comma] 5)                 30        ,1024,0.03125,91,9.705855,0.688446045,0.598968506,5,1,relu
VP0-0,dense_72 (Dense)             (None[comma] 5)                 30        ,512,0.015625,63,10.299201,0.71661377,0.557067871,5,1,relu
VP0-0,dense_74 (Dense)             (None[comma] 5)                 30        ,512,0.015625,57,9.796098,0.716522217,0.583251953,5,1,relu
VP0-0,dense_76 (Dense)             (None[comma] 5)                 30        ,512,0.015625,72,11.689388,0.709472656,0.60256958,5,1,relu
VP0-0,dense_78 (Dense)             (None[comma] 5)                 30        ,256,0.0078125,56,15.927152,0.724090576,0.567840576,5,1,relu
VP0-0,dense_80 (Dense)             (None[comma] 5)                 30        ,256,0.0078125,64,17.805245,0.731292725,0.543029785,5,1,relu
VP0-0,dense_82 (Dense)             (None[comma] 5)                 30        ,256,0.0078125,42,11.821905,0.728820801,0.520324707,5,1,relu
