sensor,hiddenLayers,batchSize,batchSizeAsFraction,epochs,trainingTimeSeconds,finalSparseCategoricalAccuracy,evaluatedAccuracy,nodes,layers,activationFunction
VP0-0,dense_84 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_85 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_86 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_87 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_88 (Dense)             (None[comma] 5)                 30        ,32768,1,1331,49.659935,0.964111328,0.95892334,5,5,relu
VP0-0,dense_90 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_91 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_92 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_93 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_94 (Dense)             (None[comma] 5)                 30        ,32768,1,1597,63.89272,0.966552734,0.965423584,5,5,relu
VP0-0,dense_96 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_97 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_98 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_99 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_100 (Dense)            (None[comma] 5)                 30        ,32768,1,1474,54.665126,0.792541504,0.78918457,5,5,relu
VP0-0,dense_102 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_103 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_104 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_105 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,70.455696,0.821838379,0.823059082,5,4,relu
VP0-0,dense_107 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_108 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_109 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_110 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,78.173106,0.967010498,0.965881348,5,4,relu
VP0-0,dense_112 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_113 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_114 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_115 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,74.585935,0.967956543,0.965515137,5,4,relu
VP0-0,dense_122 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_123 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_124 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,69.260013,0.83795166,0.839874268,5,3,relu
VP0-0,dense_126 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_127 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_128 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,70.176259,0.898468018,0.898895264,5,3,relu
VP0-0,dense_130 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_131 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_132 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,66.55776,0.952423096,0.951324463,5,3,relu
VP0-0,dense_134 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_135 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,59.81928,0.967010498,0.963195801,5,2,relu
VP0-0,dense_137 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_138 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,60.148882,0.969604492,0.966552734,5,2,relu
VP0-0,dense_140 (Dense)            (None[comma] 5)                 30        |_________________________________________________________________|dense_141 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,59.82242,0.959564209,0.957763672,5,2,relu
VP0-0,dense_143 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,53.545997,0.896118164,0.870422363,5,1,relu
VP0-0,dense_145 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,52.857931,0.901306152,0.875335693,5,1,relu
VP0-0,dense_147 (Dense)            (None[comma] 5)                 30        ,32768,1,1999,55.579189,0.895263672,0.856964111,5,1,relu
