tile,hiddenLayers,batchSize,batchSizeAsFraction,epochs,trainingTimeSeconds,finalSparseCategoricalAccuracy,nodes,layers
VP0-0,dense_18 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_19 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_20 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_21 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_22 (Dense)             (None[comma] 5)                 30        ,32768,1,1745,71.066306,0.972839355,5,5
VP0-0,dense_39 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_40 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_41 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_42 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_43 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,75.31118,0.947845459,5,5
VP0-0,dense_45 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_46 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_47 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_48 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_49 (Dense)             (None[comma] 5)                 30        ,32768,1,1498,54.014781,0.972076416,5,5
VP0-0,dense_24 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_25 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_26 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_27 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,78.480879,0.970214844,5,4
VP0-0,dense_29 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_30 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_31 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_32 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,72.061601,0.972686768,5,4
VP0-0,dense_34 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_35 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_36 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_37 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,72.95332,0.971984863,5,4
VP0-0,dense_51 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_52 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_53 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,63.825299,0.969909668,5,3
VP0-0,dense_55 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_56 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_57 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,64.309641,0.972045898,5,3
VP0-0,dense_59 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_60 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_61 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,62.71507,0.972259521,5,3
VP0-0,dense_66 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_67 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,56.601574,0.962219238,5,2
VP0-0,dense_69 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_70 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,57.362326,0.960266113,5,2
VP0-0,dense_72 (Dense)             (None[comma] 5)                 30        |_________________________________________________________________|dense_73 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,58.376215,0.967102051,5,2
VP0-0,dense_75 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,60.93398,0.918670654,5,1
VP0-0,dense_77 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,52.025391,0.897247314,5,1
VP0-0,dense_79 (Dense)             (None[comma] 5)                 30        ,32768,1,1999,58.243625,0.891845703,5,1
