sensor,fracNoisy,fracMasked,fracReconstructed,nTracksTotal,nTracksReconstructed
VP0-0,0,0.055582682,0.962308598,849,817
VP0-1,0,0.018834432,0.970588235,850,825
VP0-2,0,0.023732503,0.967058824,850,822
VP1-0,0,0.013702393,0.970588235,850,825
VP1-1,0,0.029078166,0.967058824,850,822
VP1-2,0,0.018274943,0.970588235,850,825
VP2-0,0,0.034306844,0.965882353,850,821
VP2-1,0,0.030710856,0.965882353,850,821
VP2-2,0,0.060506185,0.963486455,849,818
VP3-0,0,0.052820841,0.963486455,849,818
VP3-1,0,0.04679362,0.964664311,849,819
VP3-2,0,0.033370972,0.965882353,850,821
